datadate,tic,prccd,ajexdi,prcod,prchd,prcld,cshtrd
20240102,ACB,20537.48,1.0,20117.49,20789.47,20117.49,16528398
20240103,ACB,20999.46,1.0,20579.47,20999.46,20369.48,11671012
20240104,ACB,21251.46,1.0,21167.46,21545.45,21083.46,28081431
20240105,ACB,21377.45,1.0,21251.46,21377.45,21041.46,11038496
20240108,ACB,21293.46,1.0,21587.45,21629.45,21167.46,14749900
20240109,ACB,20999.46,1.0,21209.46,21293.46,20957.46,18392731
20240110,ACB,21209.46,1.0,21167.46,21419.45,20999.46,20956845
20240111,ACB,21209.46,1.0,21335.45,21629.45,21125.46,11825897
20240112,ACB,21671.45,1.0,21125.46,22007.44,21041.46,30430777
20240115,ACB,21251.46,1.0,21839.44,21839.44,21251.46,13951904
20240116,ACB,21335.45,1.0,21335.45,21461.45,21041.46,14738709
20240117,ACB,21335.45,1.0,21377.45,21671.45,21293.46,11564938
20240118,ACB,21503.45,1.0,21377.45,21629.45,21293.46,11442316
20240119,ACB,21797.44,1.0,21671.45,21797.44,21545.45,15204317
20240122,ACB,22091.44,1.0,22007.44,22091.44,21671.45,14287507
20240123,ACB,21881.44,1.0,22049.44,22217.43,21881.44,13966428
20240124,ACB,21671.45,1.0,21881.44,21923.44,21587.45,13502606
20240125,ACB,21671.45,1.0,21713.45,21755.44,21503.45,6055273
20240126,ACB,22091.44,1.0,21713.45,22175.43,21713.45,8162113
20240129,ACB,21797.44,1.0,22259.43,22259.43,21797.44,11043853
20240130,ACB,21797.44,1.0,21881.44,22007.44,21755.44,7594241
20240131,ACB,21629.45,1.0,21923.44,21923.44,21461.45,14474298
20240201,ACB,21839.44,1.0,21587.45,21923.44,21587.45,7477691
20240202,ACB,22049.44,1.0,21797.44,22091.44,21713.45,17297108
20240205,ACB,23351.4,1.0,22049.44,23519.4,21965.44,33478712
20240206,ACB,23393.4,1.0,23393.4,23435.4,23225.41,6485046
20240207,ACB,23519.4,1.0,23393.4,23687.39,23393.4,14159766
20240215,ACB,22847.42,1.0,23561.4,23855.39,22847.42,16957933
20240216,ACB,23183.41,1.0,23099.41,23183.41,22931.41,11304336
20240219,ACB,23267.41,1.0,23267.41,23267.41,22847.42,14115717
20240220,ACB,23141.41,1.0,23099.41,23309.4,22973.41,8710222
20240221,ACB,23267.41,1.0,23099.41,23435.4,23015.41,12204954
20240222,ACB,23225.41,1.0,23267.41,23309.4,23099.41,8811891
20240223,ACB,22931.41,1.0,23267.41,23855.39,22931.41,30924123
20240226,ACB,23099.41,1.0,22931.41,23267.41,22763.42,11649821
20240227,ACB,23183.41,1.0,23267.41,23267.41,22973.41,14351319
20240228,ACB,23519.4,1.0,23225.41,23519.4,23141.41,12453651
20240229,ACB,23519.4,1.0,23603.4,23729.39,23267.41,11847207
20240301,ACB,23351.4,1.0,23519.4,23519.4,23141.41,12135786
20240304,ACB,23351.4,1.0,23351.4,23687.39,23015.41,15734330
20240305,ACB,23477.4,1.0,23351.4,23519.4,23141.41,7539002
20240306,ACB,23183.41,1.0,23519.4,23645.4,23141.41,11656964
20240307,ACB,23099.41,1.0,23183.41,23267.41,23015.41,12102452
20240308,ACB,22721.42,1.0,23099.41,23225.41,22679.42,27401890
20240311,ACB,22469.43,1.0,22721.42,22763.42,22385.43,14304889
20240312,ACB,22469.43,1.0,22385.43,22553.42,22343.43,9896205
20240313,ACB,23225.41,1.0,22469.43,23225.41,22469.43,10637533
20240314,ACB,22889.42,1.0,23183.41,23183.41,22721.42,9791083
20240315,ACB,22973.41,1.0,22889.42,23015.41,22679.42,9313095
20240318,ACB,22595.42,1.0,22847.42,22973.41,22427.43,16809120
20240319,ACB,22553.42,1.0,22511.42,22721.42,22469.43,8477954
20240320,ACB,23099.41,1.0,22553.42,23267.41,22511.42,16669949
20240321,ACB,23519.4,1.0,23267.41,23519.4,23141.41,15260151
20240322,ACB,23645.4,1.0,23729.39,24317.38,23435.4,26996166
20240325,ACB,23099.41,1.0,23561.4,23561.4,23099.41,12127809
20240326,ACB,23477.4,1.0,23183.41,23477.4,22973.41,7480548
20240327,ACB,23519.4,1.0,23477.4,23561.4,23183.41,7093276
20240328,ACB,23813.39,1.0,23771.39,24023.39,23687.39,14790139
20240329,ACB,23939.39,1.0,23855.39,24065.38,23645.4,16059696
20240401,ACB,23897.39,1.0,23687.39,23939.39,23603.4,7351259
20240402,ACB,23855.39,1.0,23771.39,23855.39,23435.4,12392816
20240403,ACB,23519.4,1.0,23687.39,23855.39,23435.4,12142453
20240404,ACB,23141.41,1.0,23561.4,23561.4,23141.41,13281172
20240405,ACB,22805.42,1.0,22931.41,23015.41,22763.42,14630731
20240408,ACB,22805.42,1.0,22805.42,22889.42,22637.42,8177947
20240409,ACB,22931.41,1.0,22805.42,22931.41,22721.42,6394806
20240410,ACB,22763.42,1.0,23057.41,23183.41,22763.42,6097774
20240411,ACB,22805.42,1.0,22679.42,22805.42,22595.42,13436652
20240412,ACB,23519.4,1.0,22847.42,23519.4,22679.42,11628392
20240415,ACB,22553.42,1.0,23351.4,23519.4,22553.42,19350256
20240416,ACB,22805.42,1.0,22553.42,22805.42,22469.43,20655765
20240417,ACB,22469.43,1.0,22847.42,22889.42,22469.43,12476152
20240419,ACB,22343.43,1.0,22343.43,22511.42,22217.43,12931878
20240422,ACB,22511.42,1.0,22595.42,22637.42,22427.43,7516501
20240423,ACB,22385.43,1.0,22511.42,22637.42,22301.43,10167521
20240424,ACB,22721.42,1.0,22511.42,22763.42,22427.43,7954012
20240425,ACB,22511.42,1.0,22679.42,22721.42,22469.43,6121108
20240426,ACB,22553.42,1.0,22511.42,22679.42,22343.43,6481118
20240502,ACB,22679.42,1.0,22553.42,22805.42,22511.42,5711931
20240503,ACB,23099.41,1.0,22763.42,23099.41,22763.42,10379789
20240506,ACB,23183.41,1.0,23099.41,23267.41,22973.41,8863321
20240507,ACB,23225.41,1.0,23309.4,23351.4,23099.41,5120011
20240508,ACB,23141.41,1.0,23099.41,23225.41,22931.41,4806908
20240509,ACB,23183.41,1.0,23183.41,23351.4,23099.41,4882148
20240510,ACB,23267.41,1.0,23183.41,23267.41,23057.41,5845149
20240513,ACB,23267.41,1.0,23519.4,23519.4,23225.41,6608740
20240514,ACB,23309.4,1.0,23267.41,23435.4,23225.41,5322278
20240515,ACB,23267.41,1.0,23393.4,23393.4,23267.41,9289999
20240516,ACB,23729.39,1.0,23519.4,23855.39,23351.4,35957823
20240517,ACB,23729.39,1.0,23729.39,23855.39,23687.39,10124187
20240520,ACB,23729.39,1.0,23939.39,23981.39,23687.39,11111355
20240521,ACB,23687.39,1.0,23729.39,23771.39,23393.4,12886043
20240522,ACB,23477.4,1.0,23687.39,23729.39,23435.4,11051591
20240523,ACB,23897.39,1.0,23519.4,23939.39,23519.4,12440436
20240524,ACB,24569.37,1.0,23897.39,25367.35,23729.39,40296506
20240527,ACB,24737.37,1.0,24779.37,25073.36,24569.37,8971062
20240528,ACB,24905.36,1.0,24947.36,24947.36,24611.37,12722587
20240529,ACB,24569.37,1.0,24947.36,24989.36,24569.37,16008742
20240530,ACB,24695.37,1.0,24485.37,24695.37,24233.38,15608851
20240531,ACB,20705.47,1.0,20999.46,21251.46,20705.47,13241290
20240603,ACB,20831.47,1.0,20873.47,20957.46,20663.47,19337041
20240604,ACB,20579.47,1.0,20831.47,20831.47,20537.48,11574343
20240605,ACB,20453.48,1.0,20789.47,20789.47,20411.48,12839851
20240606,ACB,20453.48,1.0,20495.48,20579.47,20411.48,9557029
20240607,ACB,20663.47,1.0,20621.47,20705.47,20411.48,7008631
20240610,ACB,20495.48,1.0,20663.47,20747.47,20411.48,9132257
20240611,ACB,20285.48,1.0,20495.48,20537.48,20243.48,10953256
20240612,ACB,20621.47,1.0,20285.48,20621.47,20075.49,12368054
20240613,ACB,20831.47,1.0,20621.47,20915.47,20495.48,13944999
20240614,ACB,20663.47,1.0,20747.47,20915.47,20663.47,13140812
20240617,ACB,20621.47,1.0,20663.47,20663.47,20369.48,7581860
20240618,ACB,20621.47,1.0,20747.47,20747.47,20495.48,6815174
20240619,ACB,20705.47,1.0,20621.47,20747.47,20369.48,9062731
20240620,ACB,20831.47,1.0,20621.47,20873.47,20495.48,12108523
20240621,ACB,20621.47,1.0,20873.47,20873.47,20579.47,6097774
20240624,ACB,20243.48,1.0,20663.47,20663.47,20075.49,16923408
20240625,ACB,20201.48,1.0,20159.48,20327.48,20075.49,7974489
20240626,ACB,20243.48,1.0,20159.48,20243.48,19823.49,12065903
20240627,ACB,20117.49,1.0,20159.48,20243.48,19991.49,5835149
20240628,ACB,19991.49,1.0,19991.49,20159.48,19949.49,6846603
20240701,ACB,19991.49,1.0,19991.49,20033.49,19823.49,4682857
20240702,ACB,20201.48,1.0,19991.49,20243.48,19907.49,6781482
20240703,ACB,20369.48,1.0,20285.48,20495.48,20117.49,6963035
20240704,ACB,20285.48,1.0,20411.48,20453.48,20117.49,7581265
20240705,ACB,20411.48,1.0,20285.48,20411.48,20159.48,7541859
20240708,ACB,20369.48,1.0,20411.48,20453.48,20243.48,5885269
20240709,ACB,20411.48,1.0,20285.48,20495.48,20201.48,9507862
20240710,ACB,20369.48,1.0,20579.47,20579.47,20369.48,7702815
20240711,ACB,20285.48,1.0,20453.48,20453.48,20285.48,5940985
20240712,ACB,20159.48,1.0,20243.48,20285.48,19991.49,8513789
20240715,ACB,20117.49,1.0,20159.48,20201.48,20075.49,5335255
20240716,ACB,20243.48,1.0,20159.48,20411.48,20117.49,8324855
20240717,ACB,20579.47,1.0,20411.48,21167.46,20327.48,34394212
20240718,ACB,20831.47,1.0,20579.47,21083.46,20579.47,12690086
20240719,ACB,21083.46,1.0,20831.47,21251.46,20705.47,20319328
20240722,ACB,20789.47,1.0,21083.46,21167.46,20705.47,18032365
20240723,ACB,20159.48,1.0,20831.47,20915.47,20159.48,17982602
20240724,ACB,20327.48,1.0,20159.48,20495.48,19991.49,14581801
20240725,ACB,20201.48,1.0,20285.48,20285.48,19991.49,8519027
20240726,ACB,20243.48,1.0,20243.48,20285.48,20159.48,4104152
20240729,ACB,20285.48,1.0,20411.48,20411.48,20201.48,4884172
20240730,ACB,20285.48,1.0,20159.48,20285.48,20117.49,6534928
20240731,ACB,20621.47,1.0,20327.48,20621.47,20243.48,10177283
20240801,ACB,20117.49,1.0,20579.47,20663.47,20117.49,10922541
20240802,ACB,20117.49,1.0,20075.49,20159.48,19865.49,16317083
20240805,ACB,19487.5,1.0,19823.49,20033.49,19445.5,23913111
20240806,ACB,19739.5,1.0,19739.5,19865.49,19529.5,9548934
20240807,ACB,19655.5,1.0,19823.49,19823.49,19571.5,5238586
20240808,ACB,19529.5,1.0,19529.5,19739.5,19529.5,4344872
20240809,ACB,19823.49,1.0,19655.5,19823.49,19571.5,3579734
20240812,ACB,19991.49,1.0,19823.49,19991.49,19571.5,4996913
20240813,ACB,19823.49,1.0,19781.49,19991.49,19739.5,3392943
20240814,ACB,19781.49,1.0,19907.49,19991.49,19781.49,3948672
20240815,ACB,19739.5,1.0,19781.49,19823.49,19697.5,3160914
20240816,ACB,20159.48,1.0,19739.5,20159.48,19739.5,7757579
20240819,ACB,20201.48,1.0,20159.48,20285.48,20117.49,4567497
20240820,ACB,20243.48,1.0,20201.48,20411.48,20159.48,6444212
20240821,ACB,20495.48,1.0,20201.48,20495.48,20201.48,7806032
20240822,ACB,20495.48,1.0,20579.47,20621.47,20411.48,8082468
20240823,ACB,20537.48,1.0,20495.48,20579.47,20369.48,4634523
20240826,ACB,20537.48,1.0,20621.47,20621.47,20495.48,5858840
20240827,ACB,20537.48,1.0,20537.48,20579.47,20495.48,4946197
20240828,ACB,20579.47,1.0,20579.47,20621.47,20495.48,6217420
20240829,ACB,20705.47,1.0,20621.47,20915.47,20621.47,10224070
20240830,ACB,20831.47,1.0,20705.47,20831.47,20705.47,5337993
20240904,ACB,20705.47,1.0,20579.47,20747.47,20537.48,6706004
