,datadate,prccd,prchd,prcld,prcod,cshtrd,tic,ajexdi
0,20140102,2.29,2.29,2.28,2.29,146982,ACB,1.0
1,20140103,2.31,2.31,2.28,2.29,98656,ACB,1.0
2,20140106,2.29,2.31,2.28,2.28,190009,ACB,1.0
3,20140107,2.32,2.35,2.29,2.31,152905,ACB,1.0
4,20140108,2.31,2.32,2.29,2.32,58852,ACB,1.0
5,20140109,2.32,2.32,2.29,2.29,72432,ACB,1.0
6,20140110,2.34,2.37,2.31,2.32,160305,ACB,1.0
7,20140113,2.32,2.34,2.31,2.32,27243,ACB,1.0
8,20140114,2.37,2.37,2.31,2.32,198230,ACB,1.0
9,20140115,2.37,2.38,2.31,2.31,140117,ACB,1.0
10,20140116,2.35,2.38,2.34,2.37,102763,ACB,1.0
11,20140117,2.41,2.42,2.34,2.35,339893,ACB,1.0
12,20140120,2.39,2.42,2.38,2.41,258622,ACB,1.0
13,20140121,2.35,2.39,2.35,2.38,144669,ACB,1.0
14,20140122,2.35,2.37,2.35,2.35,173860,ACB,1.0
15,20140123,2.35,2.38,2.35,2.37,45473,ACB,1.0
16,20140124,2.37,2.38,2.35,2.35,79711,ACB,1.0
17,20140127,2.37,2.37,2.35,2.37,61108,ACB,1.0
18,20140206,2.37,2.37,2.35,2.37,39130,ACB,1.0
19,20140207,2.37,2.38,2.35,2.37,80742,ACB,1.0
20,20140210,2.37,2.38,2.35,2.37,551546,ACB,1.0
21,20140211,2.38,2.38,2.35,2.37,472956,ACB,1.0
22,20140212,2.39,2.41,2.37,2.37,149504,ACB,1.0
23,20140213,2.41,2.42,2.37,2.41,159044,ACB,1.0
24,20140214,2.41,2.42,2.39,2.41,178059,ACB,1.0
25,20140217,2.35,2.39,2.34,2.39,533459,ACB,1.0
26,20140218,2.35,2.37,2.34,2.35,576724,ACB,1.0
27,20140219,2.35,2.37,2.34,2.35,443485,ACB,1.0
28,20140220,2.34,2.38,2.34,2.35,292230,ACB,1.0
29,20140221,2.35,2.35,2.34,2.35,138041,ACB,1.0
30,20140224,2.35,2.35,2.34,2.34,141679,ACB,1.0
31,20140225,2.35,2.37,2.34,2.35,237673,ACB,1.0
32,20140226,2.38,2.38,2.34,2.34,653738,ACB,1.0
33,20140227,2.53,2.61,2.37,2.38,1517007,ACB,1.0
34,20140228,2.5,2.57,2.47,2.53,377052,ACB,1.0
35,20140303,2.44,2.5,2.44,2.5,305876,ACB,1.0
36,20140304,2.42,2.44,2.38,2.41,269216,ACB,1.0
37,20140305,2.42,2.45,2.41,2.42,209310,ACB,1.0
38,20140306,2.42,2.6,2.41,2.58,481079,ACB,1.0
39,20140307,2.42,2.44,2.41,2.42,214785,ACB,1.0
40,20140310,2.41,2.44,2.41,2.41,213819,ACB,1.0
41,20140311,2.41,2.42,2.39,2.41,322067,ACB,1.0
42,20140312,2.39,2.42,2.39,2.41,212082,ACB,1.0
43,20140313,2.41,2.41,2.39,2.39,310883,ACB,1.0
44,20140314,2.41,2.41,2.39,2.41,494631,ACB,1.0
45,20140317,2.42,2.42,2.39,2.41,728589,ACB,1.0
46,20140318,2.5,2.51,2.42,2.42,652345,ACB,1.0
47,20140319,2.55,2.55,2.45,2.51,612020,ACB,1.0
48,20140320,2.54,2.55,2.51,2.51,452237,ACB,1.0
49,20140321,2.53,2.55,2.51,2.51,405430,ACB,1.0
50,20140324,2.55,2.55,2.5,2.54,565578,ACB,1.0
51,20140325,2.53,2.55,2.51,2.55,502703,ACB,1.0
52,20140326,2.48,2.53,2.48,2.53,583854,ACB,1.0
53,20140327,2.48,2.5,2.44,2.44,296773,ACB,1.0
54,20140328,2.5,2.5,2.47,2.5,115058,ACB,1.0
55,20140331,2.5,2.5,2.48,2.5,199778,ACB,1.0
